name,categories,average_predict_rating,location/lat,location/lng,gPlusPlaceId,url
BBQ ÔNG MẬP VÕ VĂN KIỆT - 뚱보집 보반끼엣,Nhà hàng Hàn Quốc,4.7188356583,10.7601453,106.6942334,ChIJa1If114vdTERl84oylp0wac,https://www.google.com/maps/search/?api=1&query=all_places_no_search_ocr&query_place_id=ChIJa1If114vdTERl84oylp0wac
HAPPYFOOD Mỳ Cay - Tokbokki & Cơm Trộn,Nhà hàng Hàn Quốc,4.3381140198,10.8368097,106.6420316,ChIJ_yX0-64pdTER4Mrz7wbbde4,"https://www.google.com/maps/place/HAPPYFOOD+M%E1%BB%B3+Cay+-+Tokbokki+%26+C%C6%A1m+Tr%E1%BB%99n/@10.8368097,106.6420316,17z/data=!3m1!4b1!4m6!3m5!1s0x317529aefbf425ff:0xee75db06eff3cae0!8m2!3d10.8368097!4d106.6420316!16s%2Fg%2F11kqrfp9z6?hl=vi&entry=ttu"
HanKang BBQ - 68 Dương Đình Hội,Nhà hàng Hàn Quốc,4.1961657008,10.8194108,106.7782309,ChIJSyZJcBkndTERv_9nRr6LGck,https://www.google.com/maps/search/?api=1&query=all_places_no_search_ocr&query_place_id=ChIJSyZJcBkndTERv_9nRr6LGck
Janchu - Korean Fast Food,Nhà hàng Hàn Quốc,4.1809110539,10.8419302,106.6263894,ChIJoVG0qMIrdTERgS7OA2mD7fU,"https://www.google.com/maps/place/Janchu+-+Korean+Fast+Food/@10.8419302,106.6263894,17z/data=!3m1!4b1!4m6!3m5!1s0x31752bc2a8b451a1:0xf5ed836903ce2e81!8m2!3d10.8419302!4d106.6263894!16s%2Fg%2F11sthstphp?hl=vi&entry=ttu"
Cửa Hàng Mỳ Cay Larva,Nhà hàng Hàn Quốc,4.0898129934,10.7997221,106.6610981,ChIJybM0KS4pdTERH0I21XDti2Q,"https://www.google.com/maps/place/C%E1%BB%ADa+H%C3%A0ng+M%E1%BB%B3+Cay+Larva/@10.7997221,106.6610981,17z/data=!3m1!4b1!4m6!3m5!1s0x3175292e2934b3c9:0x648bed70d536421f!8m2!3d10.7997221!4d106.6610981!16s%2Fg%2F11c1s28d68?hl=vi&entry=ttu"
MR.POKKI,Nhà hàng Hàn Quốc,4.0892050755,10.7444778,106.7127404,ChIJYVVKSQovdTERUvrpEbMKwRE,"https://www.google.com/maps/place/MR.POKKI/@10.7444778,106.7127404,17z/data=!3m1!4b1!4m6!3m5!1s0x31752f0a494a5561:0x11c10ab311e9fa52!8m2!3d10.7444778!4d106.7127404!16s%2Fg%2F11l2xz24zp?hl=vi&entry=ttu"
Hanuri Korean fast food - Xô Viết Nghệ Tĩnh,Nhà hàng Hàn Quốc,4.0792898293,10.7944207,106.7087411,ChIJ80jK2OApdTERFZPXRKaDNYA,"https://www.google.com/maps/place/Hanuri+Korean+fast+food+-+X%C3%B4+Vi%E1%BA%BFt+Ngh%E1%BB%87+T%C4%A9nh/@10.7944207,106.7087411,17z/data=!3m1!4b1!4m6!3m5!1s0x317529e0d8ca48f3:0x803583a644d79315!8m2!3d10.7944207!4d106.7087411!16s%2Fg%2F11j5022z7h?hl=vi&entry=ttu"
Mì Cay Seoul,Nhà hàng Hàn Quốc,3.9791309505,10.7832408,106.636028,ChIJ7fo6rXwvdTERi9dqn_UXT1E,https://www.google.com/maps/search/?api=1&query=all_places_no_search_ocr&query_place_id=ChIJ7fo6rXwvdTERi9dqn_UXT1E
Dookki,Nhà hàng Hàn Quốc,3.7656580145,10.8048629,106.715701,ChIJy-gE3RMpdTERLZz9SRzYQhc,"https://www.google.com/maps/place/Dookki/@10.8048629,106.715701,17z/data=!3m1!4b1!4m6!3m5!1s0x31752913dd04e8cb:0x1742d81c49fd9c2d!8m2!3d10.8048629!4d106.715701!16s%2Fg%2F11h37lq8sd?hl=vi&entry=ttu"
Mì Cay Seoul,Nhà hàng Hàn Quốc,3.6794932433,10.8076022,106.6205128,ChIJ7QBN6U4rdTERQg5jIVXkfrw,https://www.google.com/maps/search/?api=1&query=all_places_no_search_ocr&query_place_id=ChIJ7QBN6U4rdTERQg5jIVXkfrw
